This file was produced by the Exoplanet Follow-up Observing Program website (exofop.ipac.caltech.edu) on Thu Jan 09 13:58:15 2025
Filter Values: disposition contains CP

"TIC ID","TOI","CTOI","Master priority","SG1A priority","SG1B priority","SG2 priority","SG3 priority","SG4 priority","SG5 priority","ESM","TSM","Predicted Mass (M_Earth)","Time Series Observations","Spectroscopy Observations","Imaging Observations","TESS Disposition","TFOPWG Disposition","TESS mag","TESS mag error","Pipeline Signal ID","Source","Detection","RA (deg)","Dec (deg)","PM RA (mas/yr)","PM RA error","PM Dec (mas/yr)","PM Dec error","Transit Epoch (BJD)","Transit Epoch error","Period (days)","Period error","Duration (hours)","Duration error","Depth (mmag)","Depth (mmag) error","Depth (ppm)","Depth (ppm) error","Planet Radius (R_Earth)","Planet Radius error","Planet Insolation (Earth flux)","Planet Eq Temp (K)","Planet SNR","Stellar Distance (pc)","Stellar Distance error","Stellar Teff (K)","Stellar Teff error","Stellar log(g) (cm/s2)","Stellar log(g) error","Stellar Radius (R_Sun)","Stellar Radius error","Stellar Metallicity","Stellar Metallicity error","Stellar Mass (M_Sun)","Stellar Mass error","Sectors","Comments","Date TOI Alerted (by TESS Project)","Date TOI Updated (by TESS Project)","Date Modified (by ExoFOP-TESS)"
"29857954","172.01","","4","5","5","5","4","5","4","15.7","55.7","69.55","5","28","12","CP","CP","10.7379","0.006","1","qlp-s28-tois","QLP","316.631879","-26.692865","-4.711","0.094","-54.25","0.069","2458326.92242","0.00173","9.47686","0.00004","4.392","0.243","3.240324","0.001167","2980","1.07525","9.80856","0.54867","161.969","993","14","342.831","7.221","5801.8","235.6","4.32","2","1.79","0.09","","","1.031","0.12794","1,28","TOI-172 b","2018-09-05","2022-10-17","2022-12-14"
"425997655","174.01","","1","5","5","1","4","4","4","2","60","4.18","17","14","3","CP","CP","8.7513","0.006","1","qlp-s69-ffi","SPOC","55.459031","-62.767267","-102.571","0.05","-43.917","0.059","2460180.378105","0.0017731","17.6671687","0.0000292","2.525","0.14","0.927615","0.037816","854","34.8289","1.87042","0.12665","7.60884","462","26","39.0341","0.04005","4813","111","4.38","0.21","0.69","0.04","-0.19","0.08","0.78","0.0888069","1,2,3,4,11,29,30,31,34,64,68,69","HD 23472 b / TOI 174.01","2019-05-07","2023-11-15","2023-12-08"
"425997655","174.02","","4","5","5","5","4","4","4","0.8","41.5","3.24","17","14","3","CP","CP","8.7513","0.006","2","qlp-s68-ffi","SPOC","55.459031","-62.767267","-102.571","0.05","-43.917","0.059","2460157.951364","0.004136","29.7975205","0.0000887","2.782","0.202","0.728774","0.036088","671","33.2375","1.60982","0.115321","3.2713","374","17","39.0341","0.04005","4813","111","4.38","0.21","0.69","0.04","-0.19","0.08","0.78","0.0888069","1,2,3,4,11,29,30,31,34,64,68","HD 23472 c; multi","2019-05-17","2023-11-15","2023-12-08"
"425997655","174.03","","2","5","5","2","4","4","4","1.1","6.1","1.65","17","14","3","CP","CP","8.7513","0.006","3","qlp-s69-ffi","SPOC","55.459031","-62.767267","-102.571","0.05","-43.917","0.059","2460184.414244","0.0035407","12.1623316","0.0000441","2.614","0.919","0.344233","0.02919","317","26.885","1.15643","0.097689","27.5458","638","14","39.0341","0.04005","4813","111","4.38","0.21","0.69","0.04","-0.19","0.08","0.78","0.0888069","1,2,3,4,11,29,30,31,34,64,68,69","HD 23472 f / TOI 174.03","2019-05-17","2023-11-15","2023-12-08"
"425997655","174.04","","2","5","5","2","4","4","4","1.3","11.4","0.36","17","14","3","CP","CP","8.7513","0.006","4","qlp-s69-ffi","SPOC","55.459031","-62.767267","-102.571","0.05","-43.917","0.059","2460203.017928","0.0041223","3.9766833","0.0000142","1.859","0.302","0.154185","0.013163","142","12.1233","0.757588","0.0655541","89.0886","855","9","39.0341","0.04005","4813","111","4.38","0.21","0.69","0.04","-0.19","0.08","0.78","0.0888069","1,2,3,4,11,29,30,31,34,64,68,69","HD 23472 d / TOI 174.04","2019-05-17","2023-11-15","2023-12-08"
"425997655","174.05","TIC 425997655.05","1","5","5","1","4","4","4","1.2","7.8","0.88","17","14","3","CP","CP","8.7513","0.006","5","qlp-s69-ffi","SPOC","55.459031","-62.767267","-102.571","0.05","-43.917","0.059","2460197.038739","0.0041425","7.9076222","0.0000262","2.611","0.411","0.23563","0.015555","217","14.3268","0.969819","0.073197","44.8107","720","13","39.0341","0.04005","4813","111","4.38","0.21","0.69","0.04","-0.19","0.08","0.78","0.0888069","1,2,3,4,11,29,30,31,34,64,68,69","HD 23472 e/ TOI 174.05","2021-10-21","2023-11-15","2023-12-08"
"307210830","175.01","","1","5","5","1","4","2","4","8","29.3","2.5","20","4","4","CP","CP","9.41242","0.007","1","qlp-s63-ffi","QLP","124.53286","-68.314466","94.768","0.054","-340.47","0.052","2460039.150624","0.0003728","3.6906795","0.0000013","1.107","0.081","1.800557","0.04718","1657","43.4539","1.36751","0.0448017","8.77401","479","80","10.6194","0.0032","3469","68","4.9401","0.058929","0.31","0.01","","","0.292836","0.0201481","2,5,8,9,10,11,12,28,29,32,35,36,37,38,39,61,62,63","L 98-59 c; TOI 175.01","2019-05-07","2023-05-11","2023-05-11"
"307210830","175.02","","4","5","5","5","4","4","4","16.5","441.8","9.75","20","4","4","CP","CP","9.41242","0.007","2","qlp-s63-ffi","SPOC","124.53286","-68.314466","94.768","0.054","-340.47","0.052","2460039.154503","0.0004444","7.4507305","0.0000032","0.475","0.12","1.675497","4.72609","1542","4343.43","3.04528","0.856434","1.96064","329","40","10.6194","0.0032","3469","68","4.9401","0.058929","0.31","0.01","","","0.292836","0.0201481","2,5,8,9,10,11,12,28,29,32,35,36,37,38,39,61,62,63","L 98-59 d/TOI 175.02","2019-05-07","2023-05-11","2023-06-16"
"307210830","175.03","","4","5","5","5","4","4","4","7.4","32.8","1.07","20","4","4","CP","CP","9.41242","0.007","3","qlp-s63-ffi","QLP","124.53286","-68.314466","94.768","0.054","-340.47","0.052","2460035.728304","0.0006774","2.2531134","0.0000015","0.909","0.272","0.723341","0.119307","666","109.88","1.01428","0.0713486","82.284","839","40","10.6194","0.0032","3469","68","4.9401","0.058929","0.31","0.01","","","0.292836","0.0201481","2,5,8,9,10,11,12,28,29,32,35,36,37,38,39,61,62,63","L 98-59 b / TOI 175.03","2019-05-07","2023-05-11","2023-06-16"
"262530407","177.01","","1","5","5","1","4","4","4","12.7","136.7","4.71","8","5","3","CP","CP","9.49275","0.007","1","qlp-s69-ffi","SPOC/QLP","20.438428","-46.714723","-111.206","0.058","-79.827","0.068","2460204.963281","0.0008831","2.8531016","0.0000017","1.142","0.173","1.515659","0.130923","1395","120.577","2.02068","0.114301","23.0419","610","28","22.4751","0.02605","3703","66","4.76229","0.061557","0.52","0.02","","","0.515356","0.0204259","2,3,29,69","GJ 3090 b","2018-12-20","2024-09-30","2024-10-01"
